,text,external_id,error,classifications,error_detail
111,was jiggin this morning in the st grade google hangout ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.79}]",
112, nelsonhavi go google meet or hangout does not expire ,,False,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.588}]",
113,me everyday so far this week have had zoom and google hangout meeting this isn counting zoom gym clas ,,False,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.465}]",
114, spottedlaurier find way to connect tp community e netflix party virtual escape rooms google hangout with ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.743}]",
115,husband what are you doing with yourself today me look ve got to tell the kindergartener when it time to get on the google hangout ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.566}]",
116,come hangout with us on google hangouts sign up on google class under the classwork tab we miss seeing all of ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.648}]",
117, mrbotelho tomorrow google hangout th grade math classes are back to the future themed realmikefox let us know if back to th gra ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.617}]",
118, mgshanks gwc_news yes they do we were fortunate that only three didn have access to an account they watched ,,False,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.82}]",
119, abbybarras lukewrd m free now too how about you my lovely lukewrd can jump on out google hangout,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.543}]",
120,yesterday during our advisory google hangout we played pictionary students shared their screen of their sketches ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.814}]",
121,spontaneous crypto city hangout in minutes ama about crypto trading or take peak at what the team is doing ,,False,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.667}]",
122, have minutes until this euro google hangout and am simply toasting scone would like to bake scones for timothy stoker,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.428}]",
123,guest appearances on google hangout by meeka may phys ed teachers at hardin park they even did morning workou ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.605}]",
124, will not be on google hangout anyways didn witk to well ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.643}]",
125, juicebookgroup our next virtual book group meeting will take place on tuesday june at to we will be discussing the ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.654}]",
126, google hangout class with bunch of kindergarteners oh boy ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.572}]",
127,tonight pm we have s weekly virtualhappyhour we have check ins conversation amp prayer come amp go ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.713}]",
128, mmealling zoom is the one use the most it what we use for our spacenews webinar series as well have also at ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.551}]",
129,boiiii will not be the first on the google hangout when didnt organize the meeting lol someone needs to pop up before myself haha,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.503}]",
130, kate_rodgers school is too cheap to invest in zoom account so we do be having google hangout grad instead,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.441}]",
131, pattonsanders oh wait from the phone you need the google hangout app,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.597}]",
132, floraegill hangout on google gives the option to mute and who is already in the call prior to joining ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.545}]",
133,exactly this google hangout overkill ,,False,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.45}]",
134, missgfreeland gwc_news which brings everyone into chat and the teacher controls starting and pausing it whole ,,False,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.801}]",
135,,,True,,"Invalid text, empty strings are not allowed"
136,hey am homealone for the next few hours anyone wanna do lil google hangout with me ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.692}]",
137,pa open session for all interior designers engineers and creative people to join an expert view on all abo ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.645}]",
138,,,True,,"Invalid text, empty strings are not allowed"
139,ayo yoongi do google hangout or zoom meeting with us we can all watch movie together and talk about it ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.683}]",
140, found it hard to understand google hangout meet and duo differences hope google integrate them sooner as ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.494}]",
141,open session for all fashion do not miss the opportunity to interact with sourav mondal fashion designer topic ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.51}]",
142,tomorrow google hangout th grade math classes are back to the future themed realmikefox let us know if back to ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.836}]",
143,arcuri steadfastly declined to confirm or deny romantic relationship with johnson telling bloomberg news last oc ,,False,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.951}]",
144,because it doesn require an account to participate in call imagine trying to teach grandma how to create and ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.712}]",
145,school is too cheap to invest in zoom account so we do be having google hangout grad instead,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.496}]",
146, lifeatthenest love this m so proud of my year and the way they are in our google hangout lessons at ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.67}]",
147,our next virtual book group meeting will take place on tuesday june at to we will be discussing th ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.576}]",
148, mikrobots bokyuto oh ahaha das right we did hangout google hangout ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.717}]",
149,dmms counselors are getting creative and hosting amp sessions via google hangout for the incoming th graders ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.769}]",
150, olson ollie on google hangout for story time with his teachers and friends thanks for sharing learns ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.981}]",
151, bahasinrl hangout telegram skype google meet,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.93}]",
152, daniireadd me to ant_olsson and ryan_pulford shall we sort the questions for the marking_man interview tomorrow lads at pm ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.881}]",
